iter	Passed	Remaining
0	249	149583
1	503	150445
2	767	152752
3	1032	153876
4	1307	155575
5	1576	156026
6	1853	157035
7	2125	157289
8	2389	156940
9	2672	157702
10	2950	157962
11	3220	157821
12	3492	157689
13	3765	157600
14	4030	157203
15	4299	156943
16	4665	159987
17	4954	160207
18	5237	160151
19	5527	160292
20	5811	160221
21	6100	160288
22	6357	159497
23	6666	160002
24	6952	159918
25	7240	159846
26	7512	159442
27	7791	159172
28	8055	158603
29	8312	157933
30	8568	157264
31	8876	157555
32	9186	157835
33	9447	157280
34	9706	156685
35	9966	156136
36	10216	155450
37	10495	155226
38	10762	154811
39	10998	153973
40	11277	153753
41	11538	153290
42	11796	152805
43	12033	152064
44	12280	151463
45	12545	151091
46	12797	150575
47	13076	150378
48	13347	150089
49	13623	149853
50	13892	149550
51	14173	149363
52	14453	149167
53	14741	149052
54	15014	148780
55	15287	148510
56	15536	148008
57	15817	147814
58	16090	147538
59	16343	147092
60	16623	146890
61	16871	146398
62	17131	146029
63	17403	145757
64	17676	145490
65	17960	145319
66	18202	144804
67	18478	144564
68	18757	144354
69	19035	144124
70	19305	143840
71	19580	143588
72	19858	143360
73	20124	143043
74	20389	142725
75	20652	142390
76	20907	142010
77	21194	141839
78	21475	141628
79	21743	141333
80	22102	141617
81	22417	141614
82	22692	141347
83	22995	141258
84	23330	141355
85	23608	141103
86	23893	140890
87	24191	140752
88	24484	140578
89	24792	140489
90	25088	140330
91	25395	140225
92	25697	140091
93	25965	139771
94	26243	139506
95	26513	139195
96	26873	139352
97	27165	139155
98	27450	138914
99	27716	138581
100	27998	138331
101	28299	138167
102	28570	137857
103	28928	137966
104	29260	137941
105	29584	137876
106	29882	137682
107	30151	137357
108	30448	137157
109	30712	136811
110	31015	136636
111	31449	137030
112	31758	136871
113	32048	136625
114	32418	136720
115	32759	136686
116	33080	136563
117	33784	137999
118	34415	139106
119	34838	139354
120	35407	140166
121	36010	141091
122	36768	142591
123	37113	142469
124	37511	142542
125	37901	142582
126	38253	142471
127	38584	142281
128	38913	142078
129	39242	141875
130	39568	141660
131	39928	141563
132	40311	141545
133	40702	141548
134	41011	141262
135	41315	140957
136	41623	140670
137	42042	140750
138	42469	140851
139	42880	140891
140	43338	141079
141	43677	140876
142	44041	140748
143	44487	140878
144	44804	140593
145	45113	140282
146	45401	139911
147	45674	139490
148	45982	139182
149	46346	139040
150	46704	138876
151	47040	138646
152	47378	138418
153	47656	138017
154	47924	137590
155	48200	137185
156	48453	136720
157	48715	136279
158	48975	135838
159	49240	135410
160	49527	135046
161	49797	134638
162	50056	134199
163	50315	133766
164	50588	133369
165	50840	132920
166	51089	132465
167	51354	132053
168	51621	131649
169	51887	131244
170	52165	130870
171	52425	130454
172	52673	130009
173	52948	129632
174	53202	129205
175	53436	128734
176	53662	128245
177	53923	127840
178	54191	127456
179	54423	126988
180	54678	126576
181	54942	126186
182	55196	125776
183	55442	125348
184	55704	124959
185	55938	124507
186	56180	124077
187	56421	123647
188	56676	123248
189	56920	122827
190	57185	122454
191	57455	122093
192	57717	121714
193	57960	121297
194	58232	120945
195	58481	120543
196	58752	120189
197	58999	119786
198	59246	119386
199	59497	118994
200	59759	118627
201	60028	118274
202	60260	117849
203	60501	117444
204	60764	117082
205	61013	116696
206	61269	116322
207	61518	115938
208	61746	115517
209	62000	115142
210	62251	114767
211	62499	114385
212	62762	114032
213	63021	113673
214	63282	113319
215	63533	112948
216	63897	112777
217	64183	112467
218	64446	112119
219	64737	111820
220	64989	111452
221	65256	111112
222	65516	110761
223	65775	110409
224	66039	110066
225	66269	109667
226	66541	109339
227	66803	108995
228	67063	108648
229	67321	108299
230	67589	107967
231	67849	107623
232	68100	107264
233	68363	106927
234	68608	106561
235	68852	106196
236	69129	105882
237	69380	105528
238	69602	105131
239	69857	104786
240	70103	104428
241	70371	104103
242	70637	103776
243	70881	103416
244	71140	103081
245	71410	102761
246	71634	102375
247	71895	102045
248	72147	101702
249	72415	101381
250	72658	101027
251	72912	100688
252	73180	100369
253	73447	100050
254	73713	99730
255	73976	99406
256	74237	99079
257	74493	98747
258	74726	98385
259	74987	98060
260	75230	97713
261	75468	97359
262	75729	97037
263	75987	96711
264	76246	96386
265	76505	96063
266	76765	95741
267	77025	95419
268	77292	95107
269	77580	94820
270	77880	94548
271	78132	94218
272	78450	93968
273	78821	93780
274	79134	93522
275	79451	93269
276	79773	93020
277	80099	92776
278	80422	92528
279	80742	92277
280	81059	92021
281	81382	91771
282	81705	91521
283	82019	91261
284	82310	90974
285	82633	90723
286	82938	90452
287	83229	90164
288	83505	89862
289	83799	89579
290	84112	89315
291	84410	89035
292	84794	88846
293	85150	88625
294	85647	88550
295	86000	88324
296	86329	88073
297	86604	87767
298	86997	87579
299	87368	87368
300	87727	87144
301	88051	86885
302	88373	86623
303	88717	86382
304	89065	86144
305	89372	85867
306	89697	85607
307	89994	85319
308	90277	85018
309	90556	84714
310	90821	84396
311	91128	84118
312	91408	83815
313	91679	83504
314	92006	83244
315	92348	82996
316	92785	82833
317	93314	82750
318	93709	82546
319	94039	82284
320	94417	82064
321	94804	81850
322	95148	81597
323	95433	81295
324	95715	80990
325	95973	80665
326	96235	80343
327	96537	80055
328	96972	79876
329	97370	79666
330	97742	79434
331	98096	79186
332	98382	78883
333	98697	78603
334	98965	78286
335	99222	77960
336	99482	77637
337	99776	77341
338	100135	77095
339	100516	76865
340	100905	76640
341	101261	76390
